video_id,date,count
56,43092,34
96,43084,58
100,43073,114
32,43094,19
79,43025,46
43,43042,98
91,43022,118
2,43038,58
38,43003,55
15,43122,95
41,43070,72
90,43045,92
20,43141,58
80,43102,79
33,43080,89
69,43077,97
57,43037,184
65,43104,27
16,43092,52
31,43081,54
89,43123,102
50,43051,94
12,43092,81
29,43028,51
78,43084,42
70,43047,75
42,43047,63
59,43121,79
88,42991,98
71,43097,34
27,43099,25
54,43085,116
93,43024,107
76,43107,25
49,43119,44
59,43060,75
44,43043,150
22,43131,64
95,43129,68
35,43070,87
65,43019,49
57,43020,109
30,43092,44
13,42996,154
15,43096,73
91,43059,122
15,43050,134
99,43031,77
94,43100,46
16,42997,115
13,43076,102
17,43012,139
67,43068,45
72,43058,35
73,43010,92
18,43105,71
30,43056,34
38,43121,34
35,43117,47
48,43113,55
98,43129,30
8,43027,102
83,43086,69
99,43051,77
48,43019,101
42,42995,56
3,43048,37
65,43010,58
42,43087,36
68,43014,78
51,43067,79
28,43012,72
64,43041,36
89,43096,68
65,43103,25
96,43027,62
60,43068,47
60,43072,68
48,43022,78
30,43059,51
54,43022,97
84,43119,130
21,43008,144
3,43101,24
100,43065,131
23,43101,102
24,43069,83
26,43145,65
50,43014,82
25,43046,45
75,43045,60
32,43021,48
73,43018,93
47,43028,70
75,43007,124
64,43074,24
19,43104,66
30,43070,47
62,43144,98
62,43123,97
87,43084,75
60,43027,72
77,43083,49
2,43127,30
78,43055,51
65,42999,46
85,43152,64
98,43031,74
53,43081,77
47,43050,55
90,43090,69
54,43047,140
61,43049,115
80,43051,50
95,43083,81
100,43141,82
87,43032,83
9,43093,78
62,43071,138
27,43033,36
93,43085,131
56,43036,81
10,43032,85
20,43089,85
10,43144,67
12,43078,49
49,43145,49
97,43026,68
87,43099,78
19,43059,97
42,43024,54
91,43012,150
97,43086,71
1,43106,93
32,42988,62
17,43047,94
59,43078,118
74,43114,148
28,43037,73
78,43016,57
32,43061,20
8,43109,69
8,43041,79
2,43027,54
44,43092,171
100,43034,133
41,43129,41
17,43067,76
69,43053,75
22,43117,79
49,43079,62
65,43052,60
24,43098,69
14,43025,59
91,43062,134
42,43009,67
39,43043,91
50,43120,72
75,43006,87
32,43083,19
99,43056,71
81,43004,85
94,43044,72
61,43065,67
16,43093,85
76,43027,59
53,43044,104
97,43047,63
37,43096,37
13,43058,109
77,43032,57
84,43014,169
64,43010,67
95,43033,119
1,43012,159
28,43109,35
34,43019,166
99,43126,60
28,43088,28
15,43120,102
56,43098,48
3,43069,27
29,43121,46
50,43047,116
93,43065,82
15,43090,93
77,43014,82
1,43079,93
90,43080,68
77,43029,47
75,43060,75
17,43014,85
71,43027,45
56,43035,60
83,43042,92
92,43133,46
11,43048,48
17,43106,67
24,43028,131
12,43048,72
34,43036,126
17,43008,127
91,43112,79
94,43091,69
76,43051,36
61,43126,60
24,43116,61
14,43051,85
66,43017,82
81,43099,38
22,43075,60
11,43078,75
70,43026,78
40,43109,41
59,43100,77
2,43113,36
25,43067,34
62,43059,106
21,43048,89
2,43079,63
4,43083,79
95,43062,131
43,42996,87
82,43115,122
99,43103,87
62,43058,136
44,43042,104
32,43065,38
67,43097,17
78,43057,44
78,43031,88
52,43127,80
35,43120,44
6,43124,12
39,43083,75
6,43098,31
47,43143,12
78,43100,54
41,43037,84
52,43098,133
55,43078,44
58,43040,74
9,42996,154
47,43075,40
80,43026,105
47,43039,36
57,43018,156
39,43077,42
22,43029,125
13,43093,93
31,43099,58
43,43085,82
28,43068,31
76,43029,36
84,43070,157
74,43065,203
82,43018,98
86,43114,75
83,43034,88
89,43095,136
92,43149,25
89,43036,105
31,43078,43
78,43000,68
80,43072,61
75,43109,54
87,43094,73
74,43045,163
4,43109,133
17,43095,78
41,43093,61
79,43098,28
68,43079,30
68,43060,46
100,43120,63
69,42997,110
9,43081,64
11,43058,52
82,43034,153
99,43052,60
52,43058,155
76,43082,32
36,43081,117
22,43121,84
11,43075,52
68,43090,32
55,43036,64
15,43152,61
65,43007,58
5,43081,104
17,43076,82
84,43115,89
82,43032,121
19,43086,42
73,43008,65
49,43031,73
17,43051,102
69,43102,121
98,43140,23
54,43083,106
81,43100,50
60,43050,52
35,43088,66
59,43061,73
31,43043,78
61,43045,77
75,43025,99
76,43046,39
26,43034,113
61,43080,53
89,43108,116
5,43069,81
70,43001,123
3,43055,39
52,43117,110
18,43006,122
70,43097,51
46,43056,83
63,43130,58
90,43025,64
7,43114,86
58,43083,44
44,43033,138
76,43101,27
81,43082,72
2,43068,51
37,43012,65
84,43065,117
23,43140,54
88,43029,86
44,43082,135
43,42991,114
44,43107,129
35,43138,58
56,43044,79
91,43089,121
31,43030,78
82,43117,107
51,43048,135
48,43121,53
53,43069,90
13,43019,110
30,43032,62
99,43124,59
43,43105,57
19,43132,50
4,43125,105
81,43027,63
12,43076,62
96,43090,48
38,43081,37
26,43050,78
96,43014,93
49,43095,88
69,43033,126
53,43033,105
83,42994,115
9,43114,72
50,43085,85
69,43039,142
84,43134,67
31,43100,57
86,43061,76
99,43077,67
99,43078,97
81,43065,54
19,43078,61
91,43116,63
87,43076,90
51,43043,153
77,43066,58
21,43014,80
49,43047,93
62,43065,144
13,42982,129
80,43099,49
13,43094,73
20,43100,121
28,43115,23
50,43058,118
76,43116,22
63,43057,49
3,43093,17
36,43045,76
54,43067,76
14,43068,74
91,43074,96
63,43052,81
13,43071,79
42,43099,31
50,43028,85
18,43028,115
34,43082,124
98,43080,55
63,43083,74
68,43114,20
69,43061,98
69,43011,91
95,43104,103
52,43120,136
97,42990,112
75,43105,54
68,43116,21
4,43123,76
12,43011,65
63,43080,52
64,43030,54
55,43064,82
81,43024,83
9,43078,95
26,43118,52
57,43050,107
67,43067,32
15,43119,78
48,43041,104
46,43007,76
75,43082,76
32,43103,14
44,43091,85
91,43123,95
64,43095,20
40,43049,77
50,43076,89
20,43042,122
73,43053,48
37,43047,60
40,43101,33
17,43050,94
58,43108,55
5,42997,105
71,43073,34
26,43093,125
43,43110,45
8,43022,75
18,43101,64
96,43054,61
28,43120,33
44,43090,91
34,43111,85
78,43051,76
55,43037,64
75,43048,62
58,43099,52
19,43072,66
47,43103,29
8,43103,73
56,43094,46
63,43107,61
63,43115,45
51,43102,109
99,43116,55
88,43084,90
67,43079,28
33,43087,104
18,43084,98
99,43073,107
60,43062,77
66,43076,77
2,43050,43
86,43107,61
17,43013,120
49,43100,100
54,43082,76
45,43082,97
28,43038,43
90,43044,93
16,43061,81
87,43135,49
54,43033,115
61,43077,86
62,43080,89
14,43030,102
79,43054,34
23,43055,97
7,43095,95
26,43090,59
44,43012,172
90,43089,78
7,43134,77
67,43052,31
50,43087,76
82,43086,91
97,43013,106
44,43004,175
87,43121,78
35,43077,73
2,43078,60
48,43067,82
36,43046,101
70,43037,79
45,43060,82
100,43047,78
17,42996,113
33,43058,72
25,43130,19
23,43064,82
29,43039,82
1,42994,129
93,43061,118
38,43042,51
52,43139,85
48,43088,69
15,43107,68
8,43080,109
24,43025,127
76,43062,39
5,43041,80
22,43035,77
61,43044,86
77,43035,43
91,43077,98
79,43005,51
88,43078,98
73,43072,48
67,43022,53
10,43083,84
94,43067,84
91,43036,131
69,42998,102
22,43113,71
72,43112,25
39,43038,54
78,43111,43
63,43061,77
19,43136,30
43,43012,101
65,43012,47
80,43094,76
46,43031,70
32,43091,25
50,43088,64
4,43114,97
78,43039,50
24,43093,133
48,43119,61
40,43113,45
99,43094,76
58,43126,31
67,43073,28
19,43024,91
97,43002,92
15,43106,112
53,43049,72
5,43040,124
80,43075,55
19,43126,40
61,43072,60
85,43138,77
43,43024,95
6,43077,32
44,43021,145
85,43125,51
12,43080,73
27,43082,30
63,43092,56
71,43013,49
38,43097,53
96,43024,82
87,43054,68
28,43054,43
67,43094,23
30,43062,54
24,43074,122
98,43077,47
32,43088,24
35,43111,44
49,43107,45
72,43113,29
87,43092,60
48,43039,89
4,43130,106
66,43111,40
76,43131,14
51,43103,86
77,43055,63
45,43059,73
7,43083,82
81,43067,69
61,43154,36
7,43027,106
18,43089,83
77,43080,45
40,43085,63
23,43133,47
28,43036,46
33,43124,81
4,43060,104
25,43040,36
19,43075,54
47,43133,12
69,43002,95
63,43030,83
13,43021,105
68,43031,72
69,43074,98
68,43104,38
3,43065,29
27,43039,43
69,43019,143
64,43096,21
30,43035,38
90,43057,106
97,43062,55
15,43129,68
78,43112,34
39,43051,48
31,43069,71
53,43056,74
24,43090,93
71,42998,52
14,43024,101
24,43089,114
3,43102,23
37,43045,41
26,43070,100
47,43068,53
22,43142,40
37,43036,77
18,43051,110
34,43054,81
41,43131,45
73,43054,71
46,43027,107
25,43065,52
96,43060,89
68,43106,29
46,43058,77
53,43106,78
10,43139,41
7,43028,93
82,43016,176
43,43002,110
78,43004,59
32,43011,60
20,43104,66
99,43137,69
20,43085,57
95,43074,72
39,43066,70
46,43063,114
28,43034,71
11,43076,78
88,43046,70
54,43101,144
33,43103,79
66,43024,103
45,43017,128
48,43009,83
25,43068,28
57,43026,155
95,43050,97
76,43063,55
20,43123,47
99,43029,91
83,43030,74
9,43058,97
49,43127,42
88,43101,95
24,43064,112
52,43036,150
38,43039,75
17,43083,60
19,43080,49
1,43037,79
75,43044,70
41,43146,47
20,43131,55
50,43019,101
7,43092,160
8,43045,79
54,43065,132
51,43111,65
59,43080,78
98,43049,55
61,43153,52
86,43129,74
17,43085,98
3,43096,27
97,43041,86
49,43089,79
97,43082,64
41,43105,70
6,43032,55
1,43007,144
96,43100,53
59,43020,87
15,43142,70
42,43003,69
43,43073,58
62,43068,133
48,43040,97
76,43094,22
86,43124,87
88,43082,89
55,43039,55
78,43006,56
52,43111,138
54,43105,112
36,43043,132
93,43052,123
68,43035,57
32,43023,39
80,43103,54
21,43116,87
79,43062,36
18,43107,107
35,43027,91
67,43046,38
77,43030,56
70,43096,70
23,43083,57
95,43071,76
53,42996,96
83,43096,61
65,43034,36
1,43103,76
18,43109,87
92,43079,51
47,43045,41
90,43021,128
27,43048,54
52,43118,85
15,43048,82
10,43061,100
44,43002,165
93,43023,123
90,43022,79
44,42997,103
89,43066,94
31,43023,92
55,43055,71
86,43092,102
68,43119,18
23,43110,76
27,43127,11
15,43047,129
82,43095,144
91,43020,127
75,43114,68
4,43089,115
50,43001,101
8,43048,127
45,43019,100
90,43070,88
60,43127,41
80,43049,67
71,43072,52
5,43111,103
95,43086,78
52,43072,110
9,43023,143
6,43035,41
12,43068,48
26,43151,71
89,43070,129
70,43094,87
53,43058,99
23,43108,49
38,43059,38
74,43126,115
65,43069,33
49,43076,88
72,43025,54
27,43129,11
21,43034,116
82,43011,142
38,43017,79
83,43044,93
35,43031,124
43,43102,71
96,43045,101
71,43047,51
82,43085,132
72,43117,31
93,43088,89
74,43075,167
52,43149,111
18,43063,117
2,43056,65
33,43129,56
14,43111,57
4,43126,131
34,43045,96
56,43105,36
60,43137,22
57,43052,148
57,43090,114
17,43071,117
78,43113,44
66,43000,125
17,42998,135
60,43097,49
71,42995,55
23,43154,48
52,43136,92
62,43063,128
75,43013,89
11,43073,42
33,43121,87
98,43042,68
87,43134,60
37,43099,35
69,43044,125
13,43017,90
87,43109,62
5,43108,77
23,43050,67
63,43062,86
65,43102,23
25,43075,38
19,43110,66
53,43095,108
19,43116,47
5,43068,117
48,43020,103
45,43028,107
12,43049,83
34,43021,89
8,43111,85
84,43023,125
99,43117,66
39,43058,54
59,43113,104
55,43047,68
63,43113,46
28,43069,39
68,43063,50
10,43050,87
65,43106,16
25,43103,26
63,43058,71
98,43038,80
48,43107,62
38,43061,53
28,43051,39
90,43060,103
92,43143,32
82,43012,124
46,43057,64
100,43064,117
24,43108,93
82,43063,124
79,43081,40
15,43055,102
14,43092,82
70,43045,126
67,43113,22
36,43065,157
63,43022,60
76,43073,30
51,43024,168
56,43031,56
92,43129,47
14,43016,105
28,43113,33
41,43067,74
83,43100,49
56,43040,61
9,43014,124
19,43083,59
97,43027,98
65,43048,50
9,43069,76
27,43045,36
28,43102,45
13,43003,119
50,43050,88
64,43088,22
45,43097,62
45,43103,89
7,43057,96
27,43117,13
22,43046,102
58,43097,38
72,43095,45
30,43131,15
59,43122,81
37,43017,46
90,43059,87
15,43131,76
37,43008,80
76,43072,37
53,43025,97
95,43038,123
20,43068,86
25,43082,29
30,43097,41
66,43063,115
43,43018,110
89,43041,80
23,43075,94
48,43115,62
11,43079,57
95,43055,99
32,43096,15
20,43035,119
76,43035,36
42,43080,52
37,43013,87
15,43109,105
95,43112,59
33,43114,70
82,43084,87
85,43044,89
89,43022,95
68,43087,47
82,43097,129
39,43022,101
99,43086,76
33,43057,104
66,43067,57
71,42997,84
65,43020,68
91,43097,63
82,43059,103
6,43062,26
53,43020,79
24,43102,118
67,43077,33
99,43085,62
56,43016,66
65,43016,48
33,43026,77
59,43076,71
56,43116,33
15,43079,122
75,43080,74
17,43021,83
5,43112,69
65,43042,59
74,43068,142
2,43044,65
96,43075,59
39,43042,73
85,43090,99
12,43079,87
26,43045,93
65,43014,57
60,43055,76
30,43037,53
5,43064,136
30,43021,74
72,43043,51
97,43012,114
16,43011,86
18,43111,71
67,43032,58
5,43013,126
79,43083,24
88,43094,91
41,43056,53
88,42995,99
72,43046,60
46,43072,94
68,43113,35
57,43022,172
14,43113,73
38,43014,96
44,43076,120
21,43018,98
20,43024,123
77,43017,46
16,43105,69
74,43077,151
