Player,Games Played,Starts,Subbed off,Minutes Played,Passes,Passing Acc,Long Passes,Long Pass Acc,Pass per 90,Forward Passes,Backward Passes,Left Pass,Right Pass,Passing Acc Opponents Half,Passing Acc Own Half,Assists,Key Passes,Crosses,Crossing Acc,Shots,Shots on Target,Goals,Right Foot Goals,Left Foot Goals,Heading Goals,Other,Goals In Box,Goals Out Box,Free Kick Goals,Conversion Rate,Mins Per Goal,Clears,Blocks,Interceptions,Tackles,Tackles Won,Duels,Duels Won,Air Duels,Air Duels Won,Yellow Cards,Red Cards,Fouls Won,Fouls Conceded,Goals Conceded,Shot At,Saves,Save Rate,Clean Sheets,Catches,Punches,Drops,Penalties Saved,Clearances,Team,Subbed on
Allen Yanes,3.0,3.0,0.0,270.0,106.0,72.6,15.0,40.0,35.3,52.0,17.0,16.0,21.0,69.5,73.5,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,13.0,10.0,41.0,26.0,9.0,7.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,0.0
Amarildo -,3.0,1.0,1.0,92.0,15.0,66.7,1.0,0.0,14.7,5.0,2.0,6.0,2.0,66.7,66.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,4.0,8.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,2.0
Andreas Ivan,2.0,2.0,1.0,164.0,53.0,73.6,3.0,100.0,29.1,15.0,4.0,20.0,14.0,66.0,75.0,2.0,6.0,4.0,25.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,0.0
Ben Mines,3.0,1.0,1.0,65.0,27.0,51.9,0.0,0.0,37.4,9.0,5.0,6.0,7.0,37.5,100.0,1.0,4.0,3.0,33.3,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,12.0,10.0,3.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,2.0
Brian White,2.0,2.0,2.0,143.0,44.0,59.1,0.0,0.0,27.7,15.0,10.0,9.0,10.0,50.0,100.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33.3,143.0,1.0,3.0,0.0,0.0,0.0,24.0,7.0,19.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,0.0
Christopher Lema,8.0,7.0,0.0,644.0,399.0,66.2,52.0,34.6,55.8,208.0,26.0,73.0,92.0,57.5,78.6,0.0,21.0,15.0,13.3,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.7,644.0,9.0,4.0,16.0,23.0,20.0,82.0,43.0,19.0,8.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,1.0
Cristian Cásseres Jr,1.0,1.0,0.0,90.0,55.0,78.2,5.0,40.0,55.0,23.0,4.0,14.0,14.0,73.7,88.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,18.0,13.0,1.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,0.0
Derrick Etienne,4.0,3.0,2.0,303.0,127.0,78.0,9.0,77.8,37.7,37.0,31.0,23.0,36.0,69.6,92.0,1.0,2.0,9.0,22.2,8.0,6.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,37.5,101.0,0.0,0.0,2.0,2.0,0.0,47.0,23.0,6.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,1.0
Edgardo Rito,5.0,4.0,0.0,366.0,161.0,73.3,19.0,31.6,39.6,83.0,16.0,60.0,2.0,67.2,81.3,1.0,4.0,6.0,16.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,11.0,12.0,8.0,64.0,33.0,18.0,5.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,1.0
Evan Louro,6.0,6.0,0.0,540.0,169.0,52.1,117.0,30.8,28.2,121.0,0.0,28.0,20.0,27.8,79.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,9.0,21.0,12.0,57.1,0.0,3.0,0.0,0.0,0.0,4.0,New York Red Bulls 2,0.0
Florian Valot,1.0,1.0,1.0,45.0,25.0,60.0,0.0,0.0,50.0,9.0,3.0,3.0,10.0,54.5,75.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,6.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,0.0
Janos Loebe,2.0,1.0,1.0,87.0,40.0,67.5,4.0,50.0,41.4,15.0,7.0,2.0,16.0,54.5,85.7,1.0,1.0,7.0,42.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,2.0,2.0,17.0,11.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,1.0
Jared Stroud,8.0,6.0,2.0,586.0,250.0,70.4,20.0,50.0,38.4,87.0,33.0,35.0,95.0,63.0,76.7,3.0,20.0,19.0,10.5,18.0,11.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,16.7,195.3,2.0,0.0,1.0,6.0,4.0,86.0,34.0,16.0,4.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,2.0
Jean-Christophe Koffi,7.0,6.0,3.0,499.0,223.0,80.7,16.0,43.8,40.2,76.0,27.0,57.0,63.0,77.1,86.7,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,13.0,16.0,14.0,98.0,52.0,24.0,13.0,1.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,1.0
Jeciel Cedeno,1.0,0.0,0.0,12.0,7.0,71.4,0.0,0.0,52.5,2.0,0.0,5.0,0.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,1.0
Jordan Scarlett,7.0,7.0,0.0,630.0,265.0,67.5,71.0,32.4,37.9,152.0,21.0,53.0,39.0,55.5,77.4,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,21.0,16.0,11.0,73.0,51.0,32.0,26.0,3.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,0.0
Kyle Duncan,2.0,2.0,0.0,180.0,85.0,69.4,8.0,25.0,42.5,48.0,6.0,17.0,14.0,65.3,68.8,0.0,1.0,6.0,16.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,26.0,16.0,7.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Red Bulls 2,0.0
